ncr_report,past_machine_defects,inspection_results,spc_trend,customer_complaint,quality_history_score
"NON-CONFORMANCE REPORT | Wafer 3121 | LOT_31B | CHB | 2024-03-25 | Recipe: METAL_ETCH_A_V3 | Operator: OP_PATEL

FAULT: Cl2 +5 — Cl2 Flow deviated +5 sccm above set-point.

WHAT WAS OBSERVED AT RUN TIME:
Endpoint peak: 2941. Endpoint mean: 1973.0. Pressure mean: 1191.4 mTorr — slightly elevated at 1191.4 vs normal ~1,189 mTorr (excess Cl2 increases gas load). Operator note: Recipe completed but something looked off.

METROLOGY:
Etch rate: 439.1 Å/min (-22.9 vs baseline). Elevated Cl2 increases etch rate — positive etch rate deviation confirms over-delivery. CD bias: 4.94 nm (positive bias = CD widening from lateral etch). Uniformity: 18.06% — significantly degraded. Pass/Fail: FAIL. OEE: 0.0000.

DEFECTS IDENTIFIED:
Over-etch from elevated Cl2. Lateral undercut on metal line structures. Sidewall roughness elevated. The positive CD bias combined with elevated etch rate is the characteristic dual signature of Cl2 over-delivery. Uniformity of 18.06% indicates non-uniform Cl2 distribution.

ROOT CAUSE RECORDED IN NCR:
Cl2 MFC over-delivery +5 sccm. Probable causes: (1) MFC valve seat wear causing increased flow at commanded valve position; (2) recent recipe modification that altered Cl2 set-point; (3) gas delivery pressure fluctuation. RF gen hrs: 988.41. PM: 41 wafers (OVERDUE.).

CORRECTIVE ACTION:
Recipe set-point verified. Cl2 MFC calibration checked. Valve seat inspected.

NCR STATUS: OPEN | SEVERITY: MEDIUM","CHAMBER CHB DEFECT HISTORY:

Prior faults: RF -12; Pr +3; BCl3 +5; Cl2 -5. Cl2 recurring on this chamber.  RF gen hrs: 988.41. PM: 41 wafers — OVERDUE.","INSPECTION FINDINGS:

Result: FAIL. Etch rate 439.1 Å/min (-22.9 — elevated). CD bias +4.94 nm — positive, confirming CD widening from lateral over-etch. Uniformity 18.06%. Lateral undercut confirmed. SEM: REQUIRED.","SPC FINDINGS:

Parameter: cl2_flow (I-MR chart). Rule: Rule 4 (2/3 >2σ). Alert: YELLOW. Occurrence #2 of cl2_flow violations. Action: MONITOR. MFC calibration scheduled.",No customer complaint raised.,4
"NON-CONFORMANCE REPORT | Wafer 3122 | LOT_31B | CHA | 2024-03-25 | Recipe: METAL_ETCH_A_V3 | Operator: OP_NGUYEN | WO: WO-CHA-3122

FAULT: RF +8 — RF Bottom Power deviated +8W above set-point.

WHAT WAS OBSERVED AT RUN TIME:
Endpoint peak: 1730 (abnormally low for CHA — compare to normal CHA mean of ~2,900 for this recipe). Endpoint mean: 1456.3. RF phase std: 648.7. Pressure: 1190.3 mTorr. Operator note: Operator noticed instability. Reported.

METROLOGY:
Etch rate: 435.5 Å/min (-26.5 vs baseline). CD bias: -5.84 nm (negative = CD narrowing). Uniformity: 19.68% — HIGHEST in this lot at 19.7%. Pass/Fail: FAIL. OEE: 0.0000.

DEFECTS IDENTIFIED:
Ion bombardment damage. CD narrowing confirmed. Worst uniformity in this lot. The low endpoint peak combined with negative CD bias and poor uniformity forms the characteristic signature of RF bias over-power.

ROOT CAUSE RECORDED IN NCR:
RF bias +8W. Partial recipe upload error (RF channel set-point not updated to current revision) or RF matching network component aging. This is the third RF power violation in the overall run history — an escalating pattern. RF gen hrs: 1241.70. PM: 42 — OVERDUE.

CORRECTIVE ACTION:
Lot held. Recipe revision verified. RF matching network capacitor positions checked. WO: WO-CHA-3122.

NCR STATUS: OPEN | SEVERITY: HIGH","CHAMBER CHA DEFECT HISTORY:

Prior faults on CHA: TCP +50; RF +10; TCP +10; Pr -2; He Chuck; TCP +30. RF power recurring on this chamber. PM: 42 wafers — OVERDUE. RF gen hrs: 1241.70. Open WO: WO-CHA-3122.","INSPECTION FINDINGS:

Result: FAIL. Etch rate 435.5 Å/min (-26.5). CD bias -5.84 nm — negative, confirming CD narrowing from RF over-power. Uniformity 19.68% — highest in this lot. SEM: REQUIRED.","SPC FINDINGS:

Parameter: rf_pwr. Rule violated: Rule 1 (>3σ). Alert: RED. Occurrence #3 in run history. RF power violations are now appearing on both chambers (CHB: RF -12 and RF +10; CHA: RF +8). This multi-chamber pattern suggests the RF matching network calibration schedule is inadequate across the tool set. Process engineering escalation recommended.",No customer complaint raised.,2
"NON-CONFORMANCE REPORT | Wafer 3141 | LOT_31B | CHB | 2024-03-25 | Recipe: METAL_ETCH_A_V3 | Operator: OP_SMITH

FAULT: BCl3 -5 — BCl3 Flow deviated -5 sccm below set-point.

WHAT WAS OBSERVED AT RUN TIME:
Endpoint peak: 3015. Endpoint mean: 1972.0. Pressure mean: 1186.2 mTorr. RF phase std: 968.8. Operator note: Operator noticed instability. Reported.

METROLOGY:
Etch rate: 429.3 Å/min (-32.7 vs baseline). BCl3 under-delivery reduces passivation, which increases lateral etch — the combination of below-nominal etch rate and edge non-uniformity is diagnostic. CD bias: -4.48 nm. Uniformity: 16.11%. Pass/Fail: FAIL. OEE: 0.0000.

DEFECTS IDENTIFIED:
Oxidation residue on contact structures. Etch non-uniformity — edge die show different etch behaviour from centre, consistent with non-uniform BCl3 distribution. Notching on sidewall features. Reduced passivation from BCl3 under-delivery allows lateral etch component to become significant.

ROOT CAUSE RECORDED IN NCR:
BCl3 MFC under-delivery -5 sccm. Probable causes: (1) partial MFC valve blockage from process byproduct accumulation; (2) BCl3 supply pressure drop — cylinder nearing depletion or regulator degradation; (3) MFC span calibration drift. RF gen hrs: 988.44. PM: 42 wafers (OVERDUE.).

CORRECTIVE ACTION:
BCl3 cylinder pressure verified. MFC calibration checked. Gas line filter inspected.

NCR STATUS: OPEN | SEVERITY: MEDIUM","CHAMBER CHB DEFECT HISTORY:

Prior faults on CHB: RF -12; Pr +3; BCl3 +5; Cl2 -5; Cl2 +5. RECURRING BCl3 DEVIATION — both over and under delivery recorded. MFC instability confirmed.  RF gen hrs: 988.44. PM: 42 wafers — OVERDUE.","INSPECTION FINDINGS:

Result: FAIL. Etch rate 429.3 Å/min (-32.7). CD bias -4.48 nm. Uniformity 16.11% (exceeds 15% target.). Oxidation residue and notching detected. SEM: REQUIRED.","SPC FINDINGS:

Parameter: bcl3_flow (I-MR chart). Rule violated: Rule 4 (2/3 >2σ), low side. Alert: YELLOW/RED. -5 sccm on 0.5 sccm-std = 10σ. MFC failure, not noise. Prior BCl3 violations in history (1 total). The BCl3 MFC has now produced deviations in BOTH directions — a classic sign of end-of-life valve behaviour. Action: INVESTIGATE. MFC replacement recommended.",No customer complaint raised.,4
"NON-CONFORMANCE REPORT | Wafer 3142 | LOT_31B | CHA | 2024-03-25 | Recipe: METAL_ETCH_A_V3 | Operator: OP_CHEN

FAULT: Pr +2 — Chamber Pressure deviated +2 mTorr above set-point.

WHAT WAS OBSERVED AT RUN TIME:
Endpoint peak: 2927. Endpoint mean: 1907.6. Pressure mean: 1190.0 mTorr. RF phase std: 837.4. Operator note: None.

METROLOGY:
Etch rate: not collected. CD bias: not collected. Uniformity: not collected. Pass/Fail: PENDING.. OEE: 0.0000.

DEFECTS IDENTIFIED:
Minor pressure elevation. Mild etch rate reduction and uniformity degradation expected. Metrology not collected — disposition pending electrical test. At +2 mTorr, impact is subtle but meaningful given CHA has accumulated multiple faults in this lot.

ROOT CAUSE RECORDED IN NCR:
Minor pressure elevation of +2 mTorr — within the range of early-stage VAT valve wear or APC calibration drift. RF gen hrs: 1241.73. PM: 43 wafers (OVERDUE.).

CORRECTIVE ACTION:
Logged for monitoring. APC calibration at next PM window.

NCR STATUS: OPEN | SEVERITY: LOW","CHAMBER CHA DEFECT HISTORY:

Prior faults: TCP +50; RF +10; TCP +10; Pr -2; He Chuck; TCP +30; RF +8. Pressure recurring. RF gen hrs: 1241.73. PM: 43 wafers — OVERDUE.","INSPECTION FINDINGS:

Result: PENDING — metrology not collected. Minor pressure deviation. Endpoint peak 2927. Mild quality impact expected. Electrical test will determine final disposition.","SPC FINDINGS:

Parameter: pressure. Rule: Rule 3 (6 consecutive trend). Alert: YELLOW. Occurrence #3. Pressure trending upward across multiple wafers. Action: MONITOR. APC calibration scheduled.",No customer complaint raised.,5
"NON-CONFORMANCE REPORT | Wafer 3143 | LOT_31B | CHB | 2024-03-25 | Recipe: METAL_ETCH_A_V3 | Operator: OP_PATEL | WO: WO-CHB-3143

FAULT: TCP -20 — TCP Top Power deviated -20W below set-point.

WHAT WAS OBSERVED AT RUN TIME:
Endpoint peak: 2661 counts. Endpoint mean: 1749.5. Note: for a TCP under-power fault the endpoint signal is typically suppressed or delayed, consistent with insufficient plasma density to complete the etch. Pressure mean: 1190.2 mTorr. RF phase std: 791.2. Operator note: None recorded.

METROLOGY:
Etch rate: 427.4 Å/min (-34.6 vs baseline 462). A negative deviation here is expected — less TCP power means less plasma density and slower etch. CD bias: 18.64 nm (positive CD bias consistent with under-etch). Uniformity: 15.52%. Pass/Fail: FAIL. OEE: 0.0000.

DEFECTS IDENTIFIED:
Under-etch confirmed. Resist residue visible on sampled die. CD bias shifted positive, consistent with insufficient plasma density for complete layer removal. Etch stop suspected on two die locations. The combination of low etch rate and positive CD bias is the diagnostic signature of TCP under-power.

ROOT CAUSE RECORDED IN NCR:
TCP generator under-power of -20W. Step-change onset (no prior SPC drift on this parameter) points to an acute hardware event rather than gradual degradation: (1) partial power supply fault in TCP generator; (2) thermal protection limit triggered — generator reduced output to protect itself; (3) cooling system fault on generator. RF generator hours: 988.47 hrs. PM count: 43 (OVERDUE — maintenance risk elevated.).

CORRECTIVE ACTION:
Lot held. TCP generator thermal log reviewed. Cooling system inspected. Generator event log checked for trip codes. WO raised: WO-CHB-3143.

NCR STATUS: OPEN | SEVERITY: HIGH","CHAMBER CHB DEFECT HISTORY AT TIME OF THIS FAULT:

Prior faults on CHB: RF -12; Pr +3; BCl3 +5; Cl2 -5; Cl2 +5; BCl3 -5. RF generator hours: 988.47 hrs. PM OVERDUE: 43 wafers. Open WO: WO-CHB-3143.","INSPECTION FINDINGS:

Result: FAIL. Etch rate: 427.4 Å/min (-34.6 vs baseline). Under-etch confirmed — etch rate below baseline by 34.6 Å/min. CD bias: +18.64 nm (positive bias = under-etch signature). Uniformity: 15.52%. Resist residue detected. SEM review: REQUIRED.","SPC FINDINGS:

Parameter: tcp_top_pwr. Rule violated: Nelson Rule 1 (1 point >3σ below LCL). Alert level: RED — low side violation. No prior tcp_top_pwr drift visible before this event — onset was sudden, consistent with acute hardware failure rather than gradual degradation. However, 3 prior tcp_top_pwr alerts exist in the run history — this chamber's TCP system has a documented instability pattern. Action taken: INVESTIGATE. Generator event log reviewed.","CUSTOMER COMPLAINT RAISED:

Under-etch confirmed by customer at incoming inspection. Resist residue on affected die. Customer requested corrective action and hold on further shipments from this chamber.",2
"NON-CONFORMANCE REPORT | Wafer 3318 | LOT_33B | CHB | 2024-04-15 | Recipe: METAL_ETCH_B_V2 | Operator: OP_SMITH | WO: WO-CHB-3318

FAULT: TCP -15 — TCP Top Power deviated -15W below set-point.

WHAT WAS OBSERVED AT RUN TIME:
Endpoint peak severely suppressed at 851 counts against normal mean of ~1,879. This 55% reduction in endpoint signal is consistent with insufficient plasma density to complete the etch process. Endpoint mean: 578.4. Pressure mean: 1231.0 mTorr.  Operator note: Chamber flagged. QC review needed.

METROLOGY:
Etch rate: 289.7 Å/min. This is 172.3 Å/min (37%) below the baseline mean of 462 Å/min — the most severe etch rate reduction recorded in this production dataset. CD bias: -0.55 nm. Uniformity: 14.42%. Pass/Fail: FAIL. OEE: 0.0000.

DEFECTS IDENTIFIED:
Severe under-etch. Insufficient plasma density for layer removal. Low endpoint signal confirms etch did not reach completion. Possible etch stop. Resist residue expected on majority of die. This wafer is almost certainly a scrap.

ROOT CAUSE RECORDED IN NCR:
TCP generator under-power -15W. The recipe reload event during the run suggests the generator may have tripped and the operator attempted to recover by reloading the recipe. If confirmed, the trip itself is the root cause: (1) thermal protection event in TCP generator; (2) power supply fault; (3) interlock partial trip. This is the FIFTH tcp_top_pwr violation in the overall production run history — TCP generator requires full engineering review and likely replacement.

CORRECTIVE ACTION:
Lot held. Generator event log reviewed for trip codes. Cooling system and power supply inspected. WO: WO-CHB-3318.

NCR STATUS: OPEN | SEVERITY: HIGH","CHAMBER CHB DEFECT HISTORY AT TIME OF THIS FAULT:

Prior faults on CHB: RF -12; Pr +3; BCl3 +5; Cl2 -5; Cl2 +5; BCl3 -5; TCP -20. CRITICAL PATTERN: tcp_top_pwr has now violated SPC limits in BOTH directions (over-power and under-power) across multiple lots. This bidirectional instability is a defining characteristic of TCP generator end-of-life.  RF generator hours: 989.02 hrs. PM status: 62 wafers since last PM — SEVERELY OVERDUE. This is a significant maintenance risk. Open WO: WO-CHB-3318.","INSPECTION FINDINGS:

Result: FAIL. Etch rate: 289.7 Å/min — 37% below baseline. This is the lowest etch rate recorded for a TCP fault in this dataset. CD bias: -0.55 nm. Uniformity: 14.42%. Endpoint peak 851 is severely suppressed. Under-etch confirmed. Probable scrap. SEM: REQUIRED.","SPC FINDINGS:

Parameter: tcp_top_pwr. Rule violated: Nelson Rule 1 (1 point >3σ below LCL). Alert level: RED. This is the 5th tcp_top_pwr SPC violation across the full run history. Previous violations occurred on: LOT_29B (TCP +50, +10), LOT_31B (TCP +30, -20). The sustained pattern of tcp_top_pwr violations across multiple lots and both directions constitutes a systemic equipment failure. Escalation to equipment engineering is overdue. Action: HOLD LOT. TCP generator maintenance required before next production run.","CUSTOMER COMPLAINT RAISED:

Under-etch confirmed at customer incoming inspection. Formal complaint filed.",1
"NON-CONFORMANCE REPORT | Wafer 3319 | LOT_33B | CHA | 2024-04-15 | Recipe: METAL_ETCH_B_V2 | Operator: OP_CHEN

FAULT: Cl2 -10 — Cl2 Flow deviated -10 sccm below set-point.

WHAT WAS OBSERVED AT RUN TIME:
Endpoint peak: 925 — severely suppressed. Endpoint mean: 636.5. Pressure: 1228.7 mTorr. RECIPE_RELOAD event (67 sec) — operator attempted mid-run recovery. Operator note: Endpoint signal low. Possible process issue.

METROLOGY:
Etch rate: 265.9 Å/min — 42% below baseline. The most severe Cl2-related etch rate reduction in this dataset. CD bias: 3.16 nm. Uniformity: 15.33%. Pass/Fail: FAIL. OEE: 0.0000.

DEFECTS IDENTIFIED:
Severe under-etch. Aluminium residue on all sampled contact structures. Incomplete native oxide removal. Etch stop confirmed on 100% of sampled die. This wafer is a scrap. The recipe reload during run suggests the operator recognised the process had failed but was unable to recover.

ROOT CAUSE RECORDED IN NCR:
Cl2 MFC near-complete failure — -10 sccm is twice the prior Cl2 -5 event magnitude. MFC is in active failure mode. Either: (1) complete valve blockage; (2) supply cylinder empty — supply management process failure; (3) regulator failure cutting supply pressure to zero. RF gen hrs: 1242.31. PM: 63 wafers — SEVERELY OVERDUE.

CORRECTIVE ACTION:
Cl2 MFC replaced. Supply cylinder checked. Production suspended until root cause confirmed. Wafer scrapped.

NCR STATUS: OPEN | SEVERITY: HIGH","CHAMBER CHA DEFECT HISTORY:

Prior faults: TCP +50; RF +10; TCP +10; Pr -2; He Chuck; TCP +30; RF +8; Pr +2. RF gen hrs: 1242.31. PM: 63 wafers — SEVERELY OVERDUE.","INSPECTION FINDINGS:

Result: FAIL. Etch rate 265.9 Å/min — 42% below baseline. Worst Cl2-related etch rate in dataset. CD bias 3.16 nm. Uniformity 15.33%. Complete etch failure. Scrap.","SPC FINDINGS:

Parameter: cl2_flow. Rule: Rule 1 (>3σ below LCL). Alert: RED. Occurrence #3. MFC hardware failure — not process variation. Action: HOLD. Replace Cl2 MFC immediately.",No customer complaint raised. Lot held.,1
"NON-CONFORMANCE REPORT | Wafer 3320 | LOT_33B | CHB | 2024-04-15 | Recipe: METAL_ETCH_B_V2 | Operator: OP_PATEL | WO: WO-CHB-3320

FAULT: RF -12 — RF Bottom Power deviated -12W below set-point.

WHAT WAS OBSERVED AT RUN TIME:
Endpoint peak: 917. Endpoint mean: 622.1. Pressure: 1231.3 mTorr. RF phase std: 873.6. Operator note: Chamber flagged. QC review needed.

METROLOGY:
Etch rate: not collected — lot held before metrology. CD bias: not collected. Uniformity: not collected. Pass/Fail: PENDING.. OEE: 0.0000.

DEFECTS IDENTIFIED:
Under-etch. Reduced RF bias means less ion energy at wafer surface, resulting in insufficient directionality for anisotropic etch. Notching on sidewall features expected. Sidewall bowing and positive CD bias consistent with under-powered RF bias.

ROOT CAUSE RECORDED IN NCR:
RF bias -12W loss. Most likely: (1) degraded RF cable introducing impedance mismatch — generator delivers less power than commanded; (2) RF matching network component failure; (3) RF power meter calibration error masking the true delivery shortfall. Sudden onset with no prior SPC drift points to hardware fault. RF gen hrs: 989.05. PM: 63 wafers.

CORRECTIVE ACTION:
RF cable inspected. Matching network calibrated. Power meter verified. WO: WO-CHB-3320.

NCR STATUS: OPEN | SEVERITY: HIGH","CHAMBER CHB DEFECT HISTORY:

Prior faults: RF -12; Pr +3; BCl3 +5; Cl2 -5; Cl2 +5; BCl3 -5; TCP -20; TCP -15. RF RECURRING on this chamber.  RF gen hrs: 989.05. PM: 63 wafers — OVERDUE. Open WO: WO-CHB-3320.","INSPECTION FINDINGS:

Result: PENDING — metrology not collected. Etch rate: not collected. Under-etch and notching expected based on RF -12W deviation. Endpoint peak 917. SEM: REQUIRED.","SPC FINDINGS:

Parameter: rf_pwr. Rule violated: Rule 1 (>3σ below LCL). Alert: RED. Low-side violation — RF power loss. Occurrence #4 of rf_pwr violations in run history. Sudden onset (no prior drift) consistent with hardware fault. Action: INVESTIGATE.","CUSTOMER COMPLAINT RAISED:

Under-etch and notching confirmed at incoming. Customer requested containment and RCA.",1
"NON-CONFORMANCE REPORT | Wafer 3339 | LOT_33B | CHA | 2024-04-15 | Recipe: METAL_ETCH_B_V2 | Operator: OP_NGUYEN

FAULT: BCl3 +10 — BCl3 Flow deviated +10 sccm above set-point.

WHAT WAS OBSERVED AT RUN TIME:
Endpoint peak: 837 — severely suppressed (normal ~1,879). No clear endpoint trigger detected. Endpoint mean: 596.4. Pressure mean: 1234.7 mTorr. RF phase std: 986.4. Operator note: Operator noticed instability. Reported.

METROLOGY:
Etch rate: not collected — etch did not complete due to severe passivation. CD bias: not collected. Uniformity: not collected. Pass/Fail: PENDING — wafer held. OEE: 0.0000.

DEFECTS IDENTIFIED:
Catastrophic passivation layer formation at +10 sccm BCl3 over-delivery. Etch process was completely suppressed — the layer was not etched through. No endpoint trigger recorded. Surface opaque under optical inspection. Passivation layer estimated at 3–5x normal thickness by reflectometry. Wafer is an unconditional scrap.

ROOT CAUSE RECORDED IN NCR:
BCl3 MFC catastrophic over-delivery at +10 sccm — twice the magnitude of the prior BCl3 +5 event. MFC valve is stuck partially open or has completely failed. This is the third BCl3 MFC event in the run history (BCl3 +5 on LOT_29B, BCl3 -5 on LOT_31B, BCl3 +10 here). The escalating severity and alternating direction are definitive indicators of MFC end-of-life. RF gen hrs: 1242.34. PM: 64 wafers — SEVERELY OVERDUE.

CORRECTIVE ACTION:
BCl3 MFC replaced immediately. Full gas delivery verification after replacement. Wafer scrapped. Production suspended on CHA until verified.

NCR STATUS: OPEN | SEVERITY: HIGH","CHAMBER CHA DEFECT HISTORY:

Prior faults on CHA: TCP +50; RF +10; TCP +10; Pr -2; He Chuck; TCP +30; RF +8; Pr +2; Cl2 -10.  RF gen hrs: 1242.34. PM: 64 wafers — SEVERELY OVERDUE.","INSPECTION FINDINGS:

Result: FAIL — etch did not complete. Metrology not collectible. Endpoint peak 837 severely suppressed — no etch completion signal. Passivation layer visually confirmed on wafer surface. Scrap disposition confirmed.","SPC FINDINGS:

Parameter: bcl3_flow. Rule violated: Rule 1 (far above UCL — +10 sccm on 0.5 sccm std = 20σ). Alert: RED. Occurrence #3 in run history. This is an MFC hardware failure, not process variation. Action: HOLD. Replace BCl3 MFC immediately.","CUSTOMER COMPLAINT RAISED:

Heavy passivation confirmed at customer inspection.",1
"NON-CONFORMANCE REPORT | Wafer 3340 | LOT_33B | CHB | 2024-04-15 | Recipe: METAL_ETCH_B_V2 | Operator: OP_SMITH

FAULT: Pr +1 — Chamber Pressure deviated +1 mTorr above set-point.

WHAT WAS OBSERVED AT RUN TIME:
Endpoint peak: 888. Endpoint mean: 600.8. Pressure mean: 1232.2 mTorr. Operator note: None.

METROLOGY:
Etch rate: 259.9 Å/min (-202.1 vs baseline). Note: this etch rate is severely below baseline — however, in the context of this lot (LOT_33B with TCP -15, Cl2 -10, RF -12, BCl3 +10 also present), the etch rate depression may reflect multiple concurrent process failures rather than the pressure deviation alone. CD bias: 2.17 nm. Uniformity: 15.55%. Pass/Fail: FAIL. OEE: 0.0000.

DEFECTS IDENTIFIED:
Minor pressure elevation. Mild uniformity degradation recorded. This fault is LOW severity in isolation, but occurs in a lot with multiple concurrent high-severity faults, complicating root cause attribution.

ROOT CAUSE RECORDED IN NCR:
Minor APC pressure elevation of +1 mTorr. Within range of normal APC hunting. Not a primary root cause but logged as a contributing factor to the lot's overall quality failure. PM: 64 wafers — OVERDUE.

CORRECTIVE ACTION:
Logged. APC calibration at next PM. No stand-alone corrective action required.

NCR STATUS: OPEN | SEVERITY: LOW","CHAMBER CHB DEFECT HISTORY:

Prior faults on CHB: RF -12; Pr +3; BCl3 +5; Cl2 -5; Cl2 +5; BCl3 -5; TCP -20; TCP -15; RF -12. Multiple pressure events on this chamber. APC stability concern. RF gen hrs: 989.08. PM: 64 wafers — OVERDUE.","INSPECTION FINDINGS:

Result: FAIL (likely attributable to concurrent lot-level failures rather than pressure alone). Etch rate 259.9 Å/min — severely below baseline, but this lot has 5 concurrent fault events. CD bias 2.17 nm. Uniformity 15.55%.","SPC FINDINGS:

Parameter: pressure. Rule: Rule 3 (trend). Alert: YELLOW. Occurrence #4 of pressure violations in run history. In context of LOT_33B, pressure trend is a secondary signal. Primary concern is TCP, Cl2, RF, and BCl3 concurrent failures. Action: MONITOR.",No customer complaint raised.,4
"NON-CONFORMANCE REPORT | Wafer 3341 | LOT_33B | CHA | 2024-04-15 | Recipe: METAL_ETCH_B_V2 | Operator: OP_CHEN | WO: WO-CHA-3341

FAULT: TCP +20 — TCP Top Power deviated +20W above set-point.

WHAT WAS OBSERVED AT RUN TIME:
Endpoint peak: 989. Endpoint mean: 679.5. Pressure mean: 1231.9 mTorr. RF phase std: 1244.8. Operator note: Recipe completed but something looked off.

METROLOGY:
Etch rate: 285.2 Å/min (-176.8 vs baseline). NOTABLE: etch rate is BELOW baseline despite TCP over-power — this paradox suggests the excess TCP power is disrupting plasma chemistry rather than simply accelerating etch. CD bias: -1.68 nm. Uniformity: 14.92%. Pass/Fail: FAIL. OEE: 0.0000.

DEFECTS IDENTIFIED:
Over-etch on metal layer. Non-uniformity of 14.92% above 10% target. CD narrowing. The below-nominal etch rate despite high TCP power is anomalous and may indicate the impedance matching network is severely mismatched, causing most of the excess TCP power to be reflected rather than delivered to the plasma.

ROOT CAUSE RECORDED IN NCR:
TCP impedance matching fault causing generator to over-compensate. This is the sixth tcp_top_pwr event in the full run history. The generator's inability to maintain stable output confirms end-of-life equipment behaviour. RF generator hours: 1242.36 hrs. PM count: 65 — SEVERELY OVERDUE.

CORRECTIVE ACTION:
Lot held. TCP impedance matching network inspected. WO: WO-CHA-3341. Engineering escalation raised.

NCR STATUS: OPEN | SEVERITY: HIGH","CHAMBER CHA DEFECT HISTORY AT TIME OF THIS FAULT:

Prior faults on CHA: TCP +50; RF +10; TCP +10; Pr -2; He Chuck; TCP +30; RF +8; Pr +2; Cl2 -10; BCl3 +10. ESCALATING TCP PATTERN: TCP power events are now appearing in both directions and increasing in frequency. This is equipment failure, not process drift.  RF gen hrs: 1242.36. PM: 65 wafers — OVERDUE. Open WO: WO-CHA-3341.","INSPECTION FINDINGS:

Result: FAIL. Etch rate 285.2 Å/min (-176.8 vs baseline). Paradoxically below baseline despite TCP over-power — impedance mismatch suspected. CD bias: -1.68 nm. Uniformity: 14.92%. Endpoint peak 989. SEM: REQUIRED.","SPC FINDINGS:

Parameter: tcp_top_pwr. Rule violated: Nelson Rule 1 (>3σ above UCL). Alert level: RED. This is occurrence #6 of a tcp_top_pwr violation. The cumulative SPC history for tcp_top_pwr now shows violations in both directions across three different lots. This is a systemic equipment failure pattern. Immediate TCP generator replacement or full overhaul is required. Action: ESCALATE to equipment engineering.",No customer complaint raised. Lot held internally.,1
